@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@data
84.0, 42.0, 68.0, 86.0, 80.0
80.0, 50.0, 86.0, 80.0, 59.0
46.0, 86.0, 59.0, 43.0, 41.0
42.0, 80.0, 43.0, 41.0, 50.0
50.0, 59.0, 41.0, 50.0, 71.0
68.0, 43.0, 50.0, 71.0, 88.0
86.0, 41.0, 71.0, 88.0, 79.0
59.0, 71.0, 79.0, 56.0, 41.0
43.0, 88.0, 56.0, 41.0, 41.0
41.0, 79.0, 41.0, 41.0, 51.0
50.0, 56.0, 41.0, 51.0, 73.0
71.0, 41.0, 51.0, 73.0, 91.0
88.0, 41.0, 73.0, 91.0, 78.0
79.0, 51.0, 91.0, 78.0, 55.0
41.0, 78.0, 41.0, 40.0, 52.0
51.0, 55.0, 40.0, 52.0, 75.0
73.0, 41.0, 52.0, 75.0, 94.0
91.0, 40.0, 75.0, 94.0, 78.0
78.0, 52.0, 94.0, 78.0, 54.0
55.0, 75.0, 78.0, 54.0, 39.0
41.0, 94.0, 54.0, 39.0, 40.0
40.0, 78.0, 39.0, 40.0, 52.0
75.0, 39.0, 52.0, 79.0, 95.0
78.0, 52.0, 95.0, 76.0, 50.0
54.0, 79.0, 76.0, 50.0, 37.0
39.0, 95.0, 50.0, 37.0, 38.0
40.0, 76.0, 37.0, 38.0, 52.0
79.0, 37.0, 52.0, 80.0, 97.0
76.0, 52.0, 97.0, 76.0, 50.0
50.0, 80.0, 76.0, 50.0, 36.0
37.0, 97.0, 50.0, 36.0, 37.0
38.0, 76.0, 36.0, 37.0, 54.0
52.0, 50.0, 37.0, 54.0, 83.0
80.0, 36.0, 54.0, 83.0, 98.0
50.0, 83.0, 74.0, 47.0, 34.0
36.0, 98.0, 47.0, 34.0, 37.0
54.0, 47.0, 37.0, 53.0, 85.0
98.0, 37.0, 85.0, 100.0, 74.0
47.0, 85.0, 74.0, 45.0, 34.0
34.0, 100.0, 45.0, 34.0, 35.0
37.0, 74.0, 34.0, 35.0, 54.0
53.0, 45.0, 35.0, 54.0, 87.0
85.0, 34.0, 54.0, 87.0, 103.0
100.0, 35.0, 87.0, 103.0, 72.0
74.0, 54.0, 103.0, 72.0, 43.0
45.0, 87.0, 72.0, 43.0, 33.0
34.0, 103.0, 43.0, 33.0, 35.0
35.0, 72.0, 33.0, 35.0, 53.0
87.0, 33.0, 53.0, 88.0, 103.0
103.0, 35.0, 88.0, 103.0, 73.0
43.0, 88.0, 73.0, 43.0, 32.0
33.0, 103.0, 43.0, 32.0, 33.0
35.0, 73.0, 32.0, 33.0, 53.0
53.0, 43.0, 33.0, 53.0, 91.0
88.0, 32.0, 53.0, 91.0, 105.0
103.0, 33.0, 91.0, 105.0, 72.0
73.0, 53.0, 105.0, 72.0, 41.0
43.0, 91.0, 72.0, 41.0, 31.0
32.0, 105.0, 41.0, 31.0, 33.0
33.0, 72.0, 31.0, 33.0, 54.0
91.0, 31.0, 54.0, 91.0, 108.0
105.0, 33.0, 91.0, 108.0, 72.0
72.0, 54.0, 108.0, 72.0, 41.0
41.0, 91.0, 72.0, 41.0, 30.0
31.0, 108.0, 41.0, 30.0, 32.0
33.0, 72.0, 30.0, 32.0, 51.0
54.0, 41.0, 32.0, 51.0, 93.0
91.0, 30.0, 51.0, 93.0, 111.0
108.0, 32.0, 93.0, 111.0, 74.0
41.0, 93.0, 74.0, 41.0, 29.0
32.0, 74.0, 29.0, 31.0, 51.0
51.0, 41.0, 31.0, 51.0, 93.0
93.0, 29.0, 51.0, 93.0, 113.0
74.0, 51.0, 113.0, 75.0, 40.0
41.0, 93.0, 75.0, 40.0, 29.0
29.0, 113.0, 40.0, 29.0, 30.0
31.0, 75.0, 29.0, 30.0, 49.0
51.0, 40.0, 30.0, 49.0, 92.0
93.0, 29.0, 49.0, 92.0, 118.0
75.0, 49.0, 118.0, 78.0, 41.0
40.0, 92.0, 78.0, 41.0, 28.0
29.0, 118.0, 41.0, 28.0, 29.0
49.0, 41.0, 29.0, 46.0, 90.0
92.0, 28.0, 46.0, 90.0, 120.0
118.0, 29.0, 90.0, 120.0, 82.0
41.0, 90.0, 82.0, 42.0, 29.0
29.0, 82.0, 29.0, 28.0, 45.0
90.0, 29.0, 45.0, 88.0, 124.0
120.0, 28.0, 88.0, 124.0, 86.0
82.0, 45.0, 124.0, 86.0, 43.0
42.0, 88.0, 86.0, 43.0, 27.0
28.0, 86.0, 27.0, 27.0, 41.0
45.0, 43.0, 27.0, 41.0, 83.0
88.0, 27.0, 41.0, 83.0, 126.0
43.0, 83.0, 91.0, 45.0, 27.0
27.0, 126.0, 45.0, 27.0, 26.0
27.0, 91.0, 27.0, 26.0, 38.0
83.0, 27.0, 38.0, 78.0, 127.0
126.0, 26.0, 78.0, 127.0, 99.0
91.0, 38.0, 127.0, 99.0, 47.0
45.0, 78.0, 99.0, 47.0, 27.0
27.0, 127.0, 47.0, 27.0, 24.0
26.0, 99.0, 27.0, 24.0, 35.0
127.0, 24.0, 72.0, 126.0, 106.0
99.0, 35.0, 126.0, 106.0, 52.0
47.0, 72.0, 106.0, 52.0, 28.0
27.0, 126.0, 52.0, 28.0, 23.0
35.0, 52.0, 23.0, 32.0, 65.0
72.0, 28.0, 32.0, 65.0, 123.0
126.0, 23.0, 65.0, 123.0, 116.0
52.0, 65.0, 116.0, 56.0, 29.0
28.0, 123.0, 56.0, 29.0, 22.0
23.0, 116.0, 29.0, 22.0, 28.0
32.0, 56.0, 22.0, 28.0, 56.0
65.0, 29.0, 28.0, 56.0, 117.0
123.0, 22.0, 56.0, 117.0, 126.0
116.0, 28.0, 117.0, 126.0, 64.0
56.0, 56.0, 126.0, 64.0, 30.0
22.0, 126.0, 30.0, 22.0, 27.0
56.0, 30.0, 27.0, 49.0, 107.0
117.0, 22.0, 49.0, 107.0, 133.0
126.0, 27.0, 107.0, 133.0, 74.0
64.0, 49.0, 133.0, 74.0, 32.0
30.0, 107.0, 74.0, 32.0, 21.0
22.0, 133.0, 32.0, 21.0, 23.0
27.0, 74.0, 21.0, 23.0, 41.0
107.0, 21.0, 41.0, 95.0, 140.0
32.0, 95.0, 84.0, 36.0, 21.0
21.0, 140.0, 36.0, 21.0, 21.0
41.0, 36.0, 21.0, 35.0, 80.0
84.0, 35.0, 141.0, 99.0, 42.0
36.0, 80.0, 99.0, 42.0, 22.0
21.0, 141.0, 42.0, 22.0, 20.0
21.0, 99.0, 22.0, 20.0, 29.0
80.0, 22.0, 29.0, 67.0, 135.0
141.0, 20.0, 67.0, 135.0, 117.0
99.0, 29.0, 135.0, 117.0, 49.0
22.0, 135.0, 49.0, 24.0, 18.0
20.0, 117.0, 24.0, 18.0, 25.0
67.0, 24.0, 25.0, 52.0, 122.0
135.0, 18.0, 52.0, 122.0, 134.0
117.0, 25.0, 122.0, 134.0, 62.0
49.0, 52.0, 134.0, 62.0, 26.0
24.0, 122.0, 62.0, 26.0, 18.0
25.0, 62.0, 18.0, 20.0, 41.0
52.0, 26.0, 20.0, 41.0, 104.0
134.0, 20.0, 104.0, 148.0, 79.0
62.0, 41.0, 148.0, 79.0, 32.0
26.0, 104.0, 79.0, 32.0, 18.0
18.0, 148.0, 32.0, 18.0, 19.0
20.0, 79.0, 18.0, 19.0, 32.0
41.0, 32.0, 19.0, 32.0, 82.0
104.0, 18.0, 32.0, 82.0, 151.0
148.0, 19.0, 82.0, 151.0, 100.0
79.0, 32.0, 151.0, 100.0, 39.0
32.0, 82.0, 100.0, 39.0, 19.0
19.0, 100.0, 19.0, 17.0, 25.0
82.0, 19.0, 25.0, 62.0, 140.0
151.0, 17.0, 62.0, 140.0, 128.0
100.0, 25.0, 140.0, 128.0, 52.0
39.0, 62.0, 128.0, 52.0, 22.0
19.0, 140.0, 52.0, 22.0, 17.0
17.0, 128.0, 22.0, 17.0, 21.0
25.0, 52.0, 17.0, 21.0, 44.0
140.0, 17.0, 44.0, 116.0, 150.0
128.0, 21.0, 116.0, 150.0, 71.0
22.0, 116.0, 71.0, 27.0, 18.0
17.0, 150.0, 27.0, 18.0, 18.0
44.0, 27.0, 18.0, 32.0, 88.0
116.0, 18.0, 32.0, 88.0, 159.0
71.0, 32.0, 159.0, 98.0, 36.0
18.0, 159.0, 36.0, 19.0, 16.0
32.0, 36.0, 16.0, 25.0, 61.0
88.0, 19.0, 25.0, 61.0, 146.0
98.0, 25.0, 146.0, 132.0, 52.0
36.0, 61.0, 132.0, 52.0, 21.0
19.0, 146.0, 52.0, 21.0, 17.0
16.0, 132.0, 21.0, 17.0, 19.0
25.0, 52.0, 17.0, 19.0, 41.0
61.0, 21.0, 19.0, 41.0, 113.0
146.0, 17.0, 41.0, 113.0, 161.0
132.0, 19.0, 113.0, 161.0, 76.0
52.0, 41.0, 161.0, 76.0, 28.0
21.0, 113.0, 76.0, 28.0, 16.0
17.0, 161.0, 28.0, 16.0, 16.0
19.0, 76.0, 16.0, 16.0, 28.0
41.0, 28.0, 16.0, 28.0, 77.0
161.0, 16.0, 77.0, 163.0, 114.0
76.0, 28.0, 163.0, 114.0, 39.0
16.0, 114.0, 19.0, 15.0, 20.0
163.0, 15.0, 47.0, 132.0, 156.0
114.0, 20.0, 132.0, 156.0, 62.0
19.0, 132.0, 62.0, 24.0, 15.0
15.0, 156.0, 24.0, 15.0, 16.0
20.0, 62.0, 15.0, 16.0, 30.0
47.0, 24.0, 16.0, 30.0, 86.0
132.0, 15.0, 30.0, 86.0, 173.0
156.0, 16.0, 86.0, 173.0, 102.0
62.0, 30.0, 173.0, 102.0, 34.0
24.0, 86.0, 102.0, 34.0, 16.0
15.0, 173.0, 34.0, 16.0, 13.0
86.0, 16.0, 19.0, 50.0, 141.0
34.0, 50.0, 154.0, 57.0, 21.0
16.0, 141.0, 57.0, 21.0, 13.0
13.0, 154.0, 21.0, 13.0, 14.0
19.0, 57.0, 13.0, 14.0, 27.0
50.0, 21.0, 14.0, 27.0, 87.0
141.0, 13.0, 27.0, 87.0, 179.0
154.0, 14.0, 87.0, 179.0, 103.0
57.0, 27.0, 179.0, 103.0, 33.0
13.0, 179.0, 33.0, 15.0, 12.0
14.0, 103.0, 15.0, 12.0, 18.0
27.0, 33.0, 12.0, 18.0, 45.0
87.0, 15.0, 18.0, 45.0, 136.0
179.0, 12.0, 45.0, 136.0, 166.0
103.0, 18.0, 136.0, 166.0, 61.0
33.0, 45.0, 166.0, 61.0, 20.0
15.0, 136.0, 61.0, 20.0, 12.0
12.0, 166.0, 20.0, 12.0, 13.0
45.0, 20.0, 13.0, 23.0, 0.0
86.0, 22.0, 32.0, 72.0, 138.0
141.0, 21.0, 72.0, 138.0, 111.0
22.0, 138.0, 48.0, 23.0, 19.0
111.0, 27.0, 129.0, 129.0, 58.0
19.0, 129.0, 27.0, 19.0, 24.0
112.0, 20.0, 37.0, 92.0, 152.0
30.0, 92.0, 93.0, 36.0, 20.0
93.0, 29.0, 146.0, 117.0, 46.0
117.0, 22.0, 128.0, 142.0, 62.0
22.0, 62.0, 17.0, 19.0, 37.0
100.0, 17.0, 27.0, 72.0, 154.0
86.0, 27.0, 154.0, 118.0, 43.0
32.0, 72.0, 118.0, 43.0, 20.0
33.0, 33.0, 14.0, 22.0, 58.0
92.0, 16.0, 22.0, 58.0, 149.0
14.0, 137.0, 20.0, 15.0, 16.0
15.0, 169.0, 28.0, 15.0, 14.0
169.0, 14.0, 65.0, 160.0, 133.0
28.0, 65.0, 133.0, 45.0, 18.0
15.0, 160.0, 45.0, 18.0, 14.0
14.0, 133.0, 18.0, 14.0, 16.0
20.0, 45.0, 12.0, 14.0, 30.0
163.0, 12.0, 30.0, 98.0, 185.0
14.0, 145.0, 58.0, 19.0, 11.0
13.0, 100.0, 12.0, 10.0, 13.0
100.0, 13.0, 114.0, 206.0, 82.0
27.0, 30.0, 206.0, 82.0, 21.0
10.0, 206.0, 21.0, 11.0, 9.0
82.0, 10.0, 120.0, 215.0, 77.0
11.0, 120.0, 77.0, 20.0, 10.0
10.0, 77.0, 10.0, 8.0, 9.0
215.0, 5.0, 3.0, 4.0, 19.0
3.0, 125.0, 30.0, 28.0, 41.0
19.0, 30.0, 41.0, 71.0, 98.0
125.0, 41.0, 98.0, 79.0, 49.0
30.0, 98.0, 49.0, 34.0, 33.0
49.0, 75.0, 76.0, 48.0, 34.0
96.0, 34.0, 81.0, 99.0, 76.0
34.0, 76.0, 32.0, 33.0, 49.0
85.0, 30.0, 49.0, 85.0, 106.0
43.0, 85.0, 74.0, 43.0, 31.0
106.0, 31.0, 87.0, 109.0, 76.0
87.0, 29.0, 47.0, 87.0, 110.0
88.0, 28.0, 45.0, 86.0, 117.0
28.0, 117.0, 42.0, 26.0, 26.0
28.0, 82.0, 26.0, 26.0, 43.0
119.0, 25.0, 80.0, 121.0, 90.0
96.0, 35.0, 123.0, 102.0, 50.0
102.0, 31.0, 121.0, 110.0, 53.0
121.0, 21.0, 57.0, 117.0, 120.0
27.0, 117.0, 59.0, 28.0, 20.0
28.0, 59.0, 20.0, 25.0, 49.0
117.0, 20.0, 49.0, 109.0, 128.0
120.0, 25.0, 109.0, 128.0, 68.0
59.0, 49.0, 128.0, 68.0, 31.0
49.0, 31.0, 23.0, 43.0, 98.0
23.0, 77.0, 22.0, 22.0, 36.0
43.0, 34.0, 22.0, 36.0, 86.0
73.0, 23.0, 26.0, 59.0, 129.0
107.0, 26.0, 129.0, 125.0, 55.0
26.0, 55.0, 18.0, 22.0, 47.0
59.0, 24.0, 22.0, 47.0, 114.0
22.0, 68.0, 18.0, 19.0, 36.0
47.0, 28.0, 19.0, 36.0, 93.0
36.0, 34.0, 18.0, 28.0, 72.0
93.0, 19.0, 28.0, 72.0, 147.0
147.0, 16.0, 53.0, 131.0, 137.0
112.0, 23.0, 131.0, 137.0, 58.0
23.0, 58.0, 16.0, 19.0, 38.0
137.0, 19.0, 104.0, 156.0, 80.0
24.0, 104.0, 80.0, 30.0, 17.0
112.0, 21.0, 132.0, 145.0, 59.0
40.0, 51.0, 145.0, 59.0, 22.0
132.0, 15.0, 32.0, 96.0, 164.0
15.0, 164.0, 30.0, 16.0, 14.0
14.0, 130.0, 19.0, 13.0, 17.0
19.0, 113.0, 75.0, 25.0, 14.0
17.0, 75.0, 14.0, 13.0, 24.0
123.0, 16.0, 118.0, 170.0, 71.0
17.0, 118.0, 71.0, 24.0, 13.0
33.0, 24.0, 11.0, 17.0, 51.0
77.0, 13.0, 12.0, 30.0, 107.0
12.0, 82.0, 10.0, 9.0, 12.0
23.0, 36.0, 192.0, 64.0, 18.0
12.0, 64.0, 10.0, 8.0, 13.0
64.0, 13.0, 148.0, 195.0, 58.0
18.0, 37.0, 195.0, 58.0, 16.0
13.0, 58.0, 9.0, 8.0, 10.0
37.0, 16.0, 8.0, 10.0, 29.0
67.0, 7.0, 66.0, 237.0, 137.0
237.0, 6.0, 4.0, 5.0, 25.0
4.0, 233.0, 12.0, 7.0, 7.0
51.0, 7.0, 80.0, 201.0, 109.0
29.0, 38.0, 169.0, 63.0, 20.0
11.0, 173.0, 34.0, 14.0, 11.0
14.0, 67.0, 11.0, 11.0, 20.0
122.0, 11.0, 20.0, 64.0, 169.0
21.0, 64.0, 131.0, 39.0, 13.0
131.0, 12.0, 100.0, 188.0, 88.0
39.0, 28.0, 188.0, 88.0, 25.0
13.0, 100.0, 88.0, 25.0, 11.0
88.0, 14.0, 141.0, 176.0, 57.0
41.0, 17.0, 10.0, 16.0, 56.0
17.0, 56.0, 149.0, 41.0, 14.0
8.0, 196.0, 32.0, 11.0, 8.0
196.0, 8.0, 17.0, 66.0, 207.0
7.0, 131.0, 10.0, 7.0, 6.0
30.0, 12.0, 193.0, 172.0, 39.0
6.0, 172.0, 11.0, 7.0, 6.0
86.0, 8.0, 4.0, 3.0, 2.0
8.0, 2.0, 7.0, 23.0, 8.0
2.0, 6.0, 16.0, 33.0, 57.0
23.0, 16.0, 57.0, 65.0, 56.0
8.0, 65.0, 46.0, 46.0, 54.0
64.0, 46.0, 58.0, 67.0, 67.0
59.0, 58.0, 67.0, 60.0, 50.0
60.0, 50.0, 52.0, 61.0, 71.0
69.0, 46.0, 61.0, 71.0, 68.0
68.0, 52.0, 71.0, 68.0, 58.0
58.0, 61.0, 68.0, 58.0, 48.0
46.0, 68.0, 47.0, 45.0, 53.0
53.0, 56.0, 45.0, 53.0, 65.0
65.0, 46.0, 55.0, 67.0, 74.0
67.0, 55.0, 74.0, 66.0, 54.0
55.0, 54.0, 46.0, 55.0, 70.0
67.0, 44.0, 55.0, 70.0, 76.0
76.0, 46.0, 73.0, 77.0, 65.0
51.0, 73.0, 65.0, 52.0, 44.0
45.0, 77.0, 52.0, 44.0, 46.0
73.0, 44.0, 59.0, 75.0, 78.0
64.0, 61.0, 79.0, 63.0, 47.0
63.0, 63.0, 79.0, 61.0, 46.0
46.0, 84.0, 60.0, 46.0, 42.0
60.0, 68.0, 80.0, 59.0, 43.0
80.0, 50.0, 88.0, 79.0, 56.0
56.0, 73.0, 78.0, 55.0, 41.0
41.0, 91.0, 55.0, 41.0, 40.0
52.0, 54.0, 40.0, 52.0, 79.0
94.0, 40.0, 79.0, 95.0, 76.0
52.0, 50.0, 38.0, 52.0, 80.0
95.0, 38.0, 80.0, 97.0, 76.0
97.0, 37.0, 83.0, 98.0, 74.0
76.0, 54.0, 98.0, 74.0, 47.0
37.0, 74.0, 34.0, 37.0, 53.0
83.0, 34.0, 53.0, 85.0, 100.0
74.0, 53.0, 100.0, 74.0, 45.0
54.0, 43.0, 35.0, 53.0, 88.0
72.0, 53.0, 103.0, 73.0, 43.0
53.0, 41.0, 33.0, 54.0, 91.0
72.0, 51.0, 111.0, 74.0, 41.0
30.0, 111.0, 41.0, 29.0, 31.0
111.0, 31.0, 93.0, 113.0, 75.0
113.0, 30.0, 92.0, 118.0, 78.0
30.0, 78.0, 28.0, 29.0, 46.0
78.0, 46.0, 120.0, 82.0, 42.0
28.0, 120.0, 42.0, 29.0, 28.0
46.0, 42.0, 28.0, 45.0, 88.0
29.0, 124.0, 43.0, 27.0, 27.0
124.0, 27.0, 83.0, 126.0, 91.0
86.0, 41.0, 126.0, 91.0, 45.0
41.0, 45.0, 26.0, 38.0, 78.0
38.0, 47.0, 24.0, 35.0, 72.0
78.0, 27.0, 35.0, 72.0, 126.0
24.0, 106.0, 28.0, 23.0, 32.0
106.0, 32.0, 123.0, 116.0, 56.0
29.0, 117.0, 64.0, 30.0, 22.0
28.0, 64.0, 22.0, 27.0, 49.0
49.0, 32.0, 23.0, 41.0, 95.0
133.0, 23.0, 95.0, 140.0, 84.0
74.0, 41.0, 140.0, 84.0, 36.0
23.0, 84.0, 21.0, 21.0, 35.0
95.0, 21.0, 35.0, 80.0, 141.0
140.0, 21.0, 80.0, 141.0, 99.0
35.0, 42.0, 20.0, 29.0, 67.0
42.0, 67.0, 117.0, 49.0, 24.0
29.0, 49.0, 18.0, 25.0, 52.0
18.0, 134.0, 26.0, 18.0, 20.0
122.0, 18.0, 41.0, 104.0, 148.0
18.0, 151.0, 39.0, 19.0, 17.0
32.0, 39.0, 17.0, 25.0, 62.0
62.0, 22.0, 21.0, 44.0, 116.0
52.0, 44.0, 150.0, 71.0, 27.0
21.0, 71.0, 18.0, 18.0, 32.0
150.0, 18.0, 88.0, 159.0, 98.0
27.0, 88.0, 98.0, 36.0, 19.0
18.0, 98.0, 19.0, 16.0, 25.0
159.0, 16.0, 61.0, 146.0, 132.0
113.0, 16.0, 28.0, 77.0, 163.0
28.0, 77.0, 114.0, 39.0, 19.0
16.0, 163.0, 39.0, 19.0, 15.0
28.0, 39.0, 15.0, 20.0, 47.0
77.0, 19.0, 20.0, 47.0, 132.0
39.0, 47.0, 156.0, 62.0, 24.0
16.0, 102.0, 16.0, 13.0, 19.0
30.0, 34.0, 13.0, 19.0, 50.0
173.0, 13.0, 50.0, 141.0, 154.0
102.0, 19.0, 141.0, 154.0, 57.0
21.0, 87.0, 103.0, 33.0, 15.0
18.0, 61.0, 12.0, 13.0, 23.0
