@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F, 0.5, 0.4, 0.125, 0.5765, 0.2395, 0.126, 0.185, negative
F, 0.52, 0.41, 0.125, 0.6985, 0.2945, 0.1625, 0.215, negative
F, 0.59, 0.455, 0.175, 0.966, 0.391, 0.2455, 0.31, negative
F, 0.45, 0.36, 0.125, 0.5065, 0.222, 0.105, 0.16, negative
M, 0.47, 0.37, 0.105, 0.4665, 0.2025, 0.1015, 0.155, negative
M, 0.445, 0.355, 0.11, 0.4415, 0.1805, 0.1035, 0.1505, negative
M, 0.595, 0.465, 0.125, 0.799, 0.3245, 0.2, 0.23, negative
F, 0.49, 0.37, 0.14, 0.585, 0.243, 0.115, 0.195, negative
I, 0.405, 0.305, 0.105, 0.3625, 0.1565, 0.0705, 0.125, negative
F, 0.455, 0.35, 0.14, 0.5725, 0.1965, 0.1325, 0.175, negative
M, 0.465, 0.36, 0.13, 0.5265, 0.2105, 0.1185, 0.165, negative
F, 0.38, 0.325, 0.11, 0.3105, 0.12, 0.074, 0.105, negative
M, 0.55, 0.46, 0.175, 0.869, 0.3155, 0.1825, 0.32, negative
M, 0.525, 0.405, 0.135, 0.7575, 0.3305, 0.216, 0.195, negative
F, 0.495, 0.385, 0.13, 0.6905, 0.3125, 0.179, 0.175, negative
F, 0.58, 0.475, 0.155, 0.974, 0.4305, 0.23, 0.285, negative
F, 0.52, 0.415, 0.145, 0.8045, 0.3325, 0.1725, 0.285, negative
F, 0.48, 0.405, 0.13, 0.6375, 0.277, 0.1445, 0.21, negative
I, 0.4, 0.31, 0.1, 0.2875, 0.1145, 0.0635, 0.095, negative
F, 0.415, 0.305, 0.105, 0.3605, 0.12, 0.082, 0.1, negative
M, 0.34, 0.275, 0.09, 0.2065, 0.0725, 0.043, 0.07, negative
F, 0.36, 0.265, 0.09, 0.2165, 0.096, 0.037, 0.0735, negative
I, 0.515, 0.375, 0.14, 0.6505, 0.2495, 0.141, 0.2215, negative
M, 0.37, 0.29, 0.09, 0.241, 0.11, 0.045, 0.069, negative
M, 0.33, 0.25, 0.09, 0.197, 0.085, 0.041, 0.0605, negative
M, 0.29, 0.225, 0.08, 0.1295, 0.0535, 0.026, 0.045, negative
F, 0.58, 0.46, 0.185, 1.017, 0.3515, 0.2, 0.32, negative
F, 0.505, 0.375, 0.115, 0.5895, 0.2635, 0.12, 0.167, negative
M, 0.4, 0.315, 0.105, 0.287, 0.1135, 0.037, 0.113, negative
F, 0.465, 0.36, 0.12, 0.4765, 0.192, 0.1125, 0.16, negative
F, 0.41, 0.315, 0.11, 0.321, 0.1255, 0.0655, 0.095, negative
F, 0.53, 0.385, 0.125, 0.6695, 0.289, 0.151, 0.18, negative
M, 0.54, 0.415, 0.17, 0.879, 0.339, 0.208, 0.255, negative
F, 0.42, 0.33, 0.125, 0.463, 0.186, 0.11, 0.145, negative
M, 0.35, 0.26, 0.09, 0.198, 0.0725, 0.056, 0.06, negative
F, 0.515, 0.395, 0.165, 0.7565, 0.1905, 0.17, 0.3205, negative
I, 0.475, 0.365, 0.12, 0.53, 0.2505, 0.0975, 0.1625, negative
M, 0.595, 0.49, 0.185, 1.185, 0.482, 0.2015, 0.361, negative
M, 0.605, 0.475, 0.175, 1.201, 0.5395, 0.275, 0.309, negative
F, 0.625, 0.49, 0.155, 1.33, 0.6675, 0.259, 0.33, negative
M, 0.63, 0.5, 0.185, 1.362, 0.5785, 0.3125, 0.384, negative
F, 0.7, 0.525, 0.19, 1.6015, 0.707, 0.365, 0.43, negative
F, 0.73, 0.57, 0.165, 2.0165, 1.0685, 0.418, 0.435, negative
F, 0.615, 0.485, 0.16, 1.1575, 0.5005, 0.2495, 0.315, negative
F, 0.615, 0.5, 0.165, 1.327, 0.6, 0.3015, 0.355, negative
M, 0.625, 0.48, 0.17, 1.3555, 0.671, 0.268, 0.3385, negative
F, 0.695, 0.55, 0.155, 1.8495, 0.767, 0.442, 0.4175, negative
F, 0.705, 0.56, 0.205, 2.381, 0.9915, 0.5005, 0.624, negative
M, 0.77, 0.6, 0.215, 2.1945, 1.0515, 0.482, 0.584, negative
M, 0.6, 0.49, 0.21, 1.9875, 1.005, 0.419, 0.491, negative
M, 0.615, 0.475, 0.175, 1.103, 0.4635, 0.3095, 0.2725, negative
M, 0.62, 0.48, 0.15, 1.1015, 0.4965, 0.243, 0.305, negative
M, 0.63, 0.51, 0.175, 1.3415, 0.6575, 0.262, 0.375, negative
F, 0.65, 0.535, 0.175, 1.2895, 0.6095, 0.2765, 0.344, negative
M, 0.66, 0.515, 0.165, 1.4465, 0.694, 0.298, 0.3755, negative
M, 0.7, 0.525, 0.175, 1.7585, 0.8745, 0.3615, 0.47, negative
I, 0.49, 0.365, 0.125, 0.5585, 0.252, 0.126, 0.1615, negative
F, 0.525, 0.415, 0.15, 0.7055, 0.329, 0.147, 0.199, negative
M, 0.535, 0.43, 0.155, 0.7845, 0.3285, 0.169, 0.245, negative
I, 0.55, 0.43, 0.145, 0.712, 0.3025, 0.152, 0.225, negative
I, 0.55, 0.425, 0.145, 0.89, 0.4325, 0.171, 0.236, negative
I, 0.55, 0.425, 0.135, 0.656, 0.257, 0.17, 0.203, negative
I, 0.56, 0.44, 0.14, 0.825, 0.402, 0.139, 0.245, negative
F, 0.57, 0.445, 0.155, 1.017, 0.5265, 0.2025, 0.265, negative
M, 0.58, 0.44, 0.175, 1.2255, 0.5405, 0.2705, 0.3265, negative
I, 0.585, 0.46, 0.145, 0.8465, 0.339, 0.167, 0.295, negative
M, 0.585, 0.465, 0.165, 0.885, 0.4025, 0.1625, 0.274, negative
M, 0.59, 0.475, 0.14, 0.977, 0.4625, 0.2025, 0.275, negative
M, 0.595, 0.475, 0.14, 1.0305, 0.4925, 0.217, 0.278, negative
M, 0.61, 0.48, 0.185, 1.3065, 0.6895, 0.2915, 0.29, negative
F, 0.615, 0.46, 0.15, 1.0265, 0.4935, 0.201, 0.2745, negative
F, 0.62, 0.48, 0.165, 1.0125, 0.5325, 0.4365, 0.324, negative
M, 0.625, 0.5, 0.14, 1.096, 0.5445, 0.2165, 0.295, negative
M, 0.625, 0.49, 0.165, 1.205, 0.5175, 0.3105, 0.3465, negative
F, 0.63, 0.475, 0.155, 1.0005, 0.452, 0.252, 0.265, negative
M, 0.63, 0.525, 0.195, 1.3135, 0.4935, 0.2565, 0.465, negative
M, 0.64, 0.485, 0.15, 1.098, 0.5195, 0.222, 0.3175, negative
M, 0.64, 0.495, 0.17, 1.139, 0.5395, 0.282, 0.285, negative
M, 0.64, 0.515, 0.08, 1.042, 0.515, 0.1755, 0.175, negative
M, 0.72, 0.55, 0.205, 2.165, 1.1055, 0.525, 0.404, negative
F, 0.59, 0.455, 0.15, 0.976, 0.465, 0.2055, 0.2765, negative
M, 0.6, 0.45, 0.16, 1.142, 0.539, 0.225, 0.307, negative
M, 0.605, 0.475, 0.19, 1.1255, 0.59, 0.247, 0.26, negative
F, 0.62, 0.48, 0.17, 1.1045, 0.535, 0.25, 0.287, negative
M, 0.625, 0.475, 0.175, 1.3405, 0.656, 0.283, 0.337, negative
M, 0.63, 0.49, 0.165, 1.2005, 0.575, 0.273, 0.294, negative
M, 0.63, 0.485, 0.16, 1.243, 0.623, 0.275, 0.3, negative
F, 0.72, 0.55, 0.18, 1.52, 0.637, 0.325, 0.435, negative
M, 0.53, 0.405, 0.15, 0.8315, 0.352, 0.187, 0.2525, negative
I, 0.54, 0.415, 0.11, 0.619, 0.2755, 0.15, 0.1765, negative
I, 0.545, 0.43, 0.15, 0.742, 0.3525, 0.158, 0.208, negative
M, 0.58, 0.46, 0.15, 1.049, 0.5205, 0.1935, 0.305, negative
I, 0.59, 0.475, 0.145, 0.9745, 0.4675, 0.207, 0.259, negative
M, 0.595, 0.47, 0.155, 1.2015, 0.492, 0.3865, 0.265, negative
M, 0.595, 0.46, 0.17, 1.1295, 0.57, 0.2555, 0.265, negative
F, 0.6, 0.48, 0.17, 1.056, 0.4575, 0.2435, 0.3135, negative
M, 0.6, 0.45, 0.195, 1.34, 0.617, 0.3255, 0.3605, negative
M, 0.615, 0.455, 0.15, 0.9335, 0.382, 0.247, 0.2615, negative
F, 0.615, 0.495, 0.165, 1.198, 0.5415, 0.2865, 0.3185, negative
M, 0.62, 0.475, 0.195, 1.3585, 0.5935, 0.3365, 0.3745, negative
M, 0.625, 0.515, 0.165, 1.217, 0.667, 0.2065, 0.3115, negative
F, 0.625, 0.49, 0.145, 0.92, 0.437, 0.1735, 0.28, negative
M, 0.625, 0.49, 0.12, 0.8765, 0.456, 0.18, 0.233, negative
F, 0.63, 0.48, 0.165, 1.2615, 0.5505, 0.277, 0.3885, negative
F, 0.63, 0.485, 0.185, 1.167, 0.548, 0.2485, 0.34, negative
M, 0.635, 0.485, 0.18, 1.1795, 0.4785, 0.2775, 0.355, negative
F, 0.66, 0.525, 0.18, 1.5965, 0.7765, 0.397, 0.3605, negative
F, 0.665, 0.51, 0.175, 1.3805, 0.675, 0.2985, 0.325, negative
M, 0.67, 0.54, 0.175, 1.482, 0.739, 0.2925, 0.365, negative
M, 0.685, 0.505, 0.19, 1.533, 0.667, 0.4055, 0.41, negative
F, 0.535, 0.4, 0.15, 1.224, 0.618, 0.275, 0.2875, negative
M, 0.555, 0.405, 0.19, 1.406, 0.6115, 0.342, 0.389, negative
F, 0.62, 0.5, 0.17, 1.148, 0.5475, 0.22, 0.3315, negative
M, 0.645, 0.505, 0.185, 1.463, 0.592, 0.3905, 0.416, negative
F, 0.655, 0.505, 0.175, 1.2905, 0.6205, 0.2965, 0.326, negative
M, 0.54, 0.42, 0.19, 0.6855, 0.293, 0.163, 0.38, negative
I, 0.55, 0.405, 0.15, 0.6755, 0.3015, 0.1465, 0.21, negative
M, 0.57, 0.45, 0.145, 0.95, 0.4005, 0.2235, 0.2845, negative
M, 0.575, 0.445, 0.14, 0.737, 0.325, 0.1405, 0.237, negative
F, 0.58, 0.435, 0.155, 0.8785, 0.425, 0.1685, 0.2425, negative
M, 0.63, 0.495, 0.18, 1.31, 0.495, 0.295, 0.4695, negative
F, 0.66, 0.53, 0.18, 1.5175, 0.7765, 0.302, 0.401, negative
M, 0.665, 0.525, 0.155, 1.3575, 0.5325, 0.3045, 0.4485, negative
M, 0.685, 0.51, 0.165, 1.545, 0.686, 0.3775, 0.4055, negative
M, 0.46, 0.355, 0.14, 0.491, 0.207, 0.115, 0.174, negative
M, 0.495, 0.38, 0.12, 0.474, 0.197, 0.1065, 0.1545, negative
M, 0.58, 0.43, 0.125, 0.9115, 0.446, 0.2075, 0.121, negative
M, 0.66, 0.525, 0.2, 1.489, 0.6065, 0.3795, 0.421, negative
M, 0.465, 0.405, 0.135, 0.7775, 0.436, 0.1715, 0.1455, negative
F, 0.525, 0.4, 0.135, 0.714, 0.318, 0.138, 0.208, negative
F, 0.575, 0.45, 0.135, 0.8285, 0.362, 0.1655, 0.236, negative
M, 0.585, 0.46, 0.15, 1.206, 0.581, 0.216, 0.323, negative
F, 0.63, 0.495, 0.19, 1.1655, 0.536, 0.2115, 0.1625, negative
F, 0.63, 0.49, 0.17, 1.2155, 0.4625, 0.2045, 0.3105, negative
F, 0.685, 0.53, 0.17, 1.5105, 0.7385, 0.3525, 0.3725, negative
M, 0.465, 0.36, 0.105, 0.488, 0.188, 0.0845, 0.19, negative
M, 0.51, 0.4, 0.14, 0.6905, 0.259, 0.151, 0.23, negative
F, 0.655, 0.505, 0.165, 1.367, 0.5835, 0.3515, 0.396, negative
M, 0.535, 0.44, 0.165, 0.875, 0.279, 0.18, 0.3, negative
M, 0.56, 0.45, 0.155, 0.9125, 0.3595, 0.271, 0.35, negative
M, 0.645, 0.505, 0.165, 1.307, 0.4335, 0.262, 0.52, negative
F, 0.505, 0.405, 0.16, 0.6835, 0.271, 0.145, 0.215, negative
M, 0.425, 0.34, 0.12, 0.388, 0.149, 0.087, 0.125, negative
F, 0.42, 0.32, 0.13, 0.4135, 0.1645, 0.106, 0.119, negative
F, 0.4, 0.335, 0.115, 0.4335, 0.2105, 0.1205, 0.12, negative
I, 0.41, 0.3, 0.115, 0.2595, 0.097, 0.0515, 0.08, negative
M, 0.345, 0.265, 0.09, 0.163, 0.0615, 0.037, 0.0485, negative
F, 0.545, 0.435, 0.15, 0.6855, 0.2905, 0.145, 0.225, negative
F, 0.385, 0.305, 0.125, 0.314, 0.146, 0.0555, 0.08, negative
F, 0.455, 0.36, 0.11, 0.4385, 0.206, 0.098, 0.125, negative
I, 0.54, 0.405, 0.15, 0.7585, 0.307, 0.2075, 0.19, negative
M, 0.33, 0.235, 0.09, 0.163, 0.0615, 0.034, 0.055, negative
F, 0.475, 0.375, 0.125, 0.588, 0.237, 0.1715, 0.155, negative
F, 0.46, 0.33, 0.15, 0.5325, 0.2085, 0.1805, 0.125, negative
M, 0.56, 0.44, 0.16, 1.1115, 0.5035, 0.2785, 0.26, negative
M, 0.575, 0.435, 0.13, 1.0105, 0.368, 0.222, 0.32, negative
M, 0.53, 0.43, 0.135, 0.879, 0.28, 0.2165, 0.25, negative
F, 0.595, 0.475, 0.165, 1.148, 0.444, 0.214, 0.37, negative
M, 0.64, 0.51, 0.17, 1.3715, 0.567, 0.307, 0.409, negative
F, 0.65, 0.545, 0.185, 1.5055, 0.6565, 0.341, 0.43, negative
F, 0.61, 0.495, 0.175, 1.2635, 0.53, 0.315, 0.3455, negative
F, 0.625, 0.47, 0.17, 1.255, 0.525, 0.2415, 0.405, negative
M, 0.635, 0.495, 0.155, 1.3635, 0.583, 0.2985, 0.295, negative
M, 0.66, 0.525, 0.18, 1.478, 0.5815, 0.381, 0.372, negative
F, 0.715, 0.585, 0.23, 2.0725, 0.8655, 0.4095, 0.565, negative
M, 0.535, 0.42, 0.16, 0.7465, 0.348, 0.1515, 0.2185, negative
M, 0.59, 0.46, 0.145, 0.929, 0.38, 0.24, 0.255, negative
F, 0.62, 0.51, 0.18, 1.233, 0.592, 0.274, 0.322, negative
M, 0.625, 0.495, 0.18, 1.0815, 0.4715, 0.254, 0.3135, negative
F, 0.645, 0.52, 0.175, 1.3345, 0.667, 0.2665, 0.355, negative
M, 0.67, 0.525, 0.18, 1.6615, 0.8005, 0.3645, 0.43, negative
M, 0.715, 0.545, 0.18, 1.7405, 0.871, 0.347, 0.449, negative
I, 0.55, 0.425, 0.155, 0.8725, 0.412, 0.187, 0.2425, negative
F, 0.565, 0.45, 0.175, 1.2365, 0.5305, 0.2455, 0.308, negative
M, 0.57, 0.47, 0.155, 1.186, 0.6355, 0.2315, 0.277, negative
I, 0.58, 0.46, 0.14, 0.9265, 0.4135, 0.1845, 0.27, negative
I, 0.58, 0.46, 0.14, 0.8295, 0.3915, 0.165, 0.238, negative
F, 0.595, 0.465, 0.145, 0.7955, 0.3425, 0.1795, 0.2425, negative
F, 0.6, 0.475, 0.17, 1.088, 0.4905, 0.2475, 0.31, negative
F, 0.62, 0.48, 0.165, 1.043, 0.4835, 0.221, 0.31, negative
M, 0.635, 0.495, 0.17, 1.3695, 0.657, 0.3055, 0.365, negative
M, 0.675, 0.515, 0.145, 1.265, 0.6025, 0.299, 0.325, negative
F, 0.59, 0.465, 0.17, 1.0425, 0.4635, 0.24, 0.27, negative
M, 0.6, 0.46, 0.18, 1.14, 0.423, 0.2575, 0.365, negative
M, 0.66, 0.53, 0.175, 1.583, 0.7395, 0.3505, 0.405, negative
F, 0.67, 0.525, 0.195, 1.42, 0.573, 0.368, 0.3905, negative
M, 0.69, 0.53, 0.19, 1.5955, 0.678, 0.331, 0.48, negative
M, 0.715, 0.525, 0.2, 1.89, 0.95, 0.436, 0.4305, negative
I, 0.525, 0.405, 0.125, 0.657, 0.2985, 0.1505, 0.168, negative
F, 0.525, 0.425, 0.14, 0.8735, 0.4205, 0.182, 0.2225, negative
I, 0.535, 0.45, 0.155, 0.8075, 0.3655, 0.148, 0.2595, negative
F, 0.545, 0.41, 0.125, 0.654, 0.2945, 0.1315, 0.205, negative
I, 0.55, 0.415, 0.15, 0.7915, 0.3535, 0.176, 0.236, negative
F, 0.585, 0.465, 0.145, 0.9855, 0.4325, 0.2145, 0.2845, negative
I, 0.595, 0.47, 0.135, 0.9365, 0.434, 0.184, 0.287, negative
F, 0.595, 0.44, 0.135, 0.964, 0.5005, 0.1715, 0.2575, negative
F, 0.595, 0.46, 0.155, 1.0455, 0.4565, 0.24, 0.3085, negative
M, 0.6, 0.47, 0.16, 1.012, 0.441, 0.2015, 0.305, negative
F, 0.605, 0.49, 0.15, 1.1345, 0.4305, 0.2525, 0.35, negative
M, 0.61, 0.45, 0.19, 1.0805, 0.517, 0.2495, 0.2935, negative
M, 0.62, 0.525, 0.155, 1.085, 0.454, 0.1965, 0.35, negative
M, 0.62, 0.48, 0.165, 1.0855, 0.481, 0.2575, 0.305, negative
M, 0.65, 0.495, 0.16, 1.2075, 0.55, 0.2695, 0.32, negative
F, 0.65, 0.52, 0.195, 1.281, 0.5985, 0.246, 0.3825, negative
F, 0.65, 0.51, 0.175, 1.35, 0.575, 0.3155, 0.3885, negative
F, 0.66, 0.53, 0.17, 1.431, 0.622, 0.309, 0.398, negative
M, 0.66, 0.51, 0.18, 1.261, 0.5, 0.2335, 0.339, negative
M, 0.685, 0.55, 0.19, 1.885, 0.89, 0.41, 0.4895, negative
F, 0.705, 0.53, 0.17, 1.564, 0.612, 0.394, 0.44, negative
F, 0.575, 0.42, 0.19, 1.764, 0.914, 0.377, 0.4095, negative
M, 0.605, 0.455, 0.16, 1.1215, 0.533, 0.273, 0.271, negative
M, 0.615, 0.505, 0.165, 1.167, 0.4895, 0.2955, 0.345, negative
M, 0.625, 0.48, 0.18, 1.223, 0.565, 0.2975, 0.3375, negative
I, 0.52, 0.41, 0.14, 0.699, 0.3395, 0.129, 0.1945, negative
M, 0.53, 0.42, 0.135, 0.675, 0.294, 0.156, 0.1825, negative
I, 0.535, 0.4, 0.145, 0.705, 0.3065, 0.1365, 0.22, negative
F, 0.555, 0.44, 0.14, 0.846, 0.346, 0.1715, 0.2735, negative
M, 0.555, 0.46, 0.16, 0.86, 0.3345, 0.1935, 0.275, negative
I, 0.575, 0.45, 0.145, 0.795, 0.364, 0.1505, 0.26, negative
M, 0.595, 0.48, 0.185, 1.1785, 0.526, 0.2975, 0.314, negative
M, 0.615, 0.48, 0.185, 1.2205, 0.4985, 0.315, 0.33, negative
M, 0.615, 0.455, 0.13, 0.9685, 0.49, 0.182, 0.2655, negative
M, 0.625, 0.5, 0.185, 1.2425, 0.5995, 0.248, 0.335, negative
F, 0.645, 0.51, 0.155, 1.129, 0.5015, 0.24, 0.342, negative
F, 0.65, 0.505, 0.175, 1.2075, 0.5105, 0.262, 0.39, negative
M, 0.67, 0.52, 0.175, 1.4755, 0.6275, 0.379, 0.374, negative
F, 0.695, 0.535, 0.175, 1.361, 0.5465, 0.2815, 0.465, negative
M, 0.515, 0.385, 0.13, 0.623, 0.2855, 0.1285, 0.175, negative
M, 0.57, 0.44, 0.145, 0.8815, 0.3605, 0.1955, 0.2735, negative
M, 0.595, 0.46, 0.155, 1.03, 0.4275, 0.207, 0.3305, negative
F, 0.545, 0.42, 0.175, 0.754, 0.256, 0.1775, 0.275, negative
M, 0.56, 0.44, 0.13, 0.8255, 0.2425, 0.202, 0.285, negative
M, 0.475, 0.37, 0.125, 0.655, 0.266, 0.1725, 0.185, negative
F, 0.525, 0.43, 0.165, 0.717, 0.289, 0.1745, 0.195, negative
M, 0.45, 0.355, 0.115, 0.478, 0.18, 0.1185, 0.155, negative
F, 0.565, 0.455, 0.13, 1.058, 0.439, 0.2645, 0.3, negative
M, 0.54, 0.425, 0.12, 0.817, 0.2945, 0.153, 0.195, negative
F, 0.565, 0.46, 0.15, 0.8765, 0.3455, 0.1925, 0.275, negative
F, 0.455, 0.375, 0.125, 0.458, 0.1985, 0.111, 0.12, negative
I, 0.355, 0.27, 0.1, 0.216, 0.083, 0.037, 0.075, negative
F, 0.52, 0.41, 0.16, 0.712, 0.2845, 0.153, 0.225, negative
I, 0.525, 0.4, 0.14, 0.6955, 0.2405, 0.16, 0.253, negative
I, 0.725, 0.55, 0.22, 2.0495, 0.7735, 0.4405, 0.655, negative
F, 0.35, 0.275, 0.065, 0.205, 0.0745, 0.0465, 0.07, negative
F, 0.555, 0.44, 0.155, 1.016, 0.4935, 0.1855, 0.263, negative
M, 0.695, 0.55, 0.205, 2.173, 1.133, 0.4665, 0.496, negative
F, 0.72, 0.575, 0.195, 2.1505, 1.0745, 0.382, 0.585, negative
M, 0.6, 0.465, 0.155, 1.262, 0.6245, 0.2455, 0.33, negative
M, 0.67, 0.51, 0.2, 1.5945, 0.6705, 0.3845, 0.4505, negative
M, 0.7, 0.6, 0.23, 2.003, 0.8105, 0.4045, 0.5755, negative
M, 0.625, 0.48, 0.175, 1.065, 0.4865, 0.259, 0.285, negative
M, 0.635, 0.48, 0.145, 1.181, 0.665, 0.229, 0.225, negative
M, 0.66, 0.515, 0.155, 1.4415, 0.7055, 0.3555, 0.335, negative
F, 0.69, 0.58, 0.195, 1.658, 0.708, 0.3615, 0.4715, negative
I, 0.495, 0.385, 0.125, 0.5125, 0.2075, 0.1155, 0.172, negative
I, 0.575, 0.45, 0.15, 0.858, 0.449, 0.166, 0.215, negative
F, 0.575, 0.46, 0.165, 0.9575, 0.4815, 0.1945, 0.236, negative
F, 0.58, 0.425, 0.155, 0.873, 0.3615, 0.249, 0.239, negative
M, 0.625, 0.5, 0.175, 1.0565, 0.4615, 0.258, 0.305, negative
F, 0.625, 0.485, 0.165, 1.2255, 0.5075, 0.296, 0.36, negative
F, 0.635, 0.5, 0.18, 1.2565, 0.539, 0.292, 0.35, negative
M, 0.62, 0.465, 0.145, 0.911, 0.375, 0.2145, 0.278, negative
M, 0.55, 0.43, 0.18, 0.8265, 0.4405, 0.159, 0.225, negative
M, 0.57, 0.445, 0.16, 1.0145, 0.516, 0.164, 0.3, negative
F, 0.575, 0.48, 0.17, 1.1, 0.506, 0.2485, 0.31, negative
I, 0.595, 0.475, 0.155, 0.984, 0.4865, 0.184, 0.2755, negative
M, 0.7, 0.545, 0.215, 1.9125, 0.8825, 0.4385, 0.506, negative
F, 0.605, 0.465, 0.155, 1.1, 0.547, 0.2665, 0.2585, negative
I, 0.55, 0.445, 0.11, 0.7935, 0.378, 0.142, 0.26, negative
I, 0.57, 0.425, 0.14, 0.7655, 0.331, 0.14, 0.24, negative
M, 0.58, 0.45, 0.14, 0.824, 0.3465, 0.1765, 0.263, negative
I, 0.585, 0.47, 0.17, 0.985, 0.3695, 0.2395, 0.315, negative
F, 0.635, 0.495, 0.175, 1.2355, 0.5205, 0.3085, 0.347, negative
F, 0.645, 0.535, 0.19, 1.2395, 0.468, 0.2385, 0.424, negative
M, 0.695, 0.53, 0.21, 1.51, 0.664, 0.4095, 0.385, negative
M, 0.52, 0.385, 0.165, 0.791, 0.375, 0.18, 0.1815, negative
M, 0.55, 0.43, 0.13, 0.8395, 0.3155, 0.1955, 0.2405, negative
M, 0.59, 0.44, 0.135, 0.966, 0.439, 0.2145, 0.2605, negative
F, 0.625, 0.485, 0.15, 1.0945, 0.531, 0.261, 0.296, negative
F, 0.615, 0.48, 0.165, 1.1615, 0.513, 0.301, 0.305, negative
M, 0.53, 0.415, 0.14, 0.724, 0.3105, 0.1675, 0.205, negative
M, 0.55, 0.405, 0.14, 0.8025, 0.244, 0.1635, 0.255, negative
F, 0.47, 0.36, 0.13, 0.472, 0.182, 0.114, 0.15, negative
M, 0.485, 0.4, 0.135, 0.663, 0.313, 0.137, 0.2, negative
F, 0.455, 0.35, 0.14, 0.5185, 0.221, 0.1265, 0.135, negative
F, 0.485, 0.375, 0.135, 0.556, 0.1925, 0.1315, 0.1685, negative
F, 0.55, 0.45, 0.15, 0.875, 0.362, 0.1755, 0.2765, negative
M, 0.66, 0.52, 0.19, 1.558, 0.755, 0.298, 0.4, negative
M, 0.63, 0.5, 0.175, 1.2645, 0.5635, 0.3065, 0.3425, negative
M, 0.645, 0.53, 0.195, 1.39, 0.6465, 0.2945, 0.3735, negative
M, 0.755, 0.58, 0.205, 2.0065, 0.8295, 0.4015, 0.595, negative
M, 0.575, 0.46, 0.155, 0.892, 0.4415, 0.176, 0.22, negative
M, 0.585, 0.49, 0.185, 1.171, 0.522, 0.2535, 0.335, negative
I, 0.6, 0.475, 0.15, 1.12, 0.565, 0.2465, 0.27, negative
M, 0.615, 0.475, 0.17, 1.129, 0.4795, 0.302, 0.3, negative
F, 0.62, 0.5, 0.15, 1.293, 0.596, 0.3135, 0.354, negative
M, 0.635, 0.51, 0.155, 0.986, 0.405, 0.2255, 0.31, negative
M, 0.705, 0.565, 0.515, 2.21, 1.1075, 0.4865, 0.512, negative
M, 0.62, 0.485, 0.155, 1.049, 0.462, 0.231, 0.25, negative
M, 0.67, 0.51, 0.175, 1.5265, 0.651, 0.4475, 0.345, negative
M, 0.74, 0.57, 0.18, 1.8725, 0.9115, 0.427, 0.446, negative
I, 0.515, 0.35, 0.105, 0.4745, 0.213, 0.123, 0.1275, negative
M, 0.63, 0.485, 0.165, 1.233, 0.6565, 0.2315, 0.3035, negative
M, 0.64, 0.515, 0.18, 1.247, 0.5475, 0.2925, 0.3685, negative
M, 0.7, 0.565, 0.175, 1.8565, 0.8445, 0.3935, 0.54, negative
M, 0.72, 0.57, 0.2, 1.8275, 0.919, 0.366, 0.485, negative
F, 0.675, 0.53, 0.175, 1.4465, 0.6775, 0.33, 0.389, negative
I, 0.565, 0.46, 0.155, 0.8715, 0.3755, 0.215, 0.25, negative
M, 0.575, 0.445, 0.145, 0.876, 0.3795, 0.1615, 0.27, negative
I, 0.575, 0.45, 0.135, 0.8715, 0.45, 0.162, 0.225, negative
I, 0.605, 0.49, 0.165, 1.071, 0.482, 0.1935, 0.352, negative
M, 0.615, 0.495, 0.2, 1.219, 0.564, 0.227, 0.3885, negative
F, 0.64, 0.48, 0.145, 1.1145, 0.508, 0.24, 0.34, negative
F, 0.65, 0.51, 0.185, 1.375, 0.531, 0.384, 0.3985, negative
F, 0.655, 0.525, 0.175, 1.348, 0.5855, 0.2605, 0.394, negative
F, 0.6, 0.45, 0.14, 0.837, 0.37, 0.177, 0.2425, negative
F, 0.705, 0.57, 0.185, 1.761, 0.747, 0.3725, 0.488, negative
M, 0.53, 0.425, 0.13, 0.7455, 0.2995, 0.1355, 0.245, negative
M, 0.55, 0.44, 0.135, 0.879, 0.368, 0.2095, 0.265, negative
M, 0.475, 0.375, 0.12, 0.563, 0.2525, 0.1205, 0.185, negative
F, 0.52, 0.425, 0.15, 0.813, 0.385, 0.2015, 0.23, negative
F, 0.62, 0.485, 0.175, 1.2155, 0.545, 0.253, 0.345, negative
F, 0.605, 0.48, 0.15, 1.079, 0.4505, 0.2835, 0.293, negative
M, 0.625, 0.48, 0.145, 1.085, 0.4645, 0.2445, 0.327, negative
M, 0.735, 0.57, 0.21, 2.2355, 1.1705, 0.463, 0.5315, negative
I, 0.605, 0.48, 0.155, 0.9995, 0.425, 0.1985, 0.3, negative
F, 0.57, 0.47, 0.14, 0.871, 0.385, 0.211, 0.2315, negative
F, 0.6, 0.48, 0.165, 1.1345, 0.4535, 0.27, 0.335, negative
I, 0.47, 0.375, 0.105, 0.468, 0.1665, 0.108, 0.17, negative
I, 0.435, 0.34, 0.11, 0.407, 0.1685, 0.073, 0.13, negative
